Time [sec]		Acceleration [g]	Velocity [mm/sec]	Displacement [mm]
0.00000   		-0.00013        	0.00000          	0.00000          
0.00500   		-0.00011        	-0.00594         	-0.00002         
0.01000   		-0.00010        	-0.01115         	-0.00006         
0.01500   		-0.00009        	-0.01588         	-0.00013         
0.02000   		-0.00008        	-0.02016         	-0.00022         
0.02500   		-0.00007        	-0.02399         	-0.00033         
0.03000   		-0.00007        	-0.02756         	-0.00046         
0.03500   		-0.00007        	-0.03108         	-0.00060         
0.04000   		-0.00007        	-0.03467         	-0.00077         
0.04500   		-0.00008        	-0.03850         	-0.00095         
0.05000   		-0.00008        	-0.04259         	-0.00115         
0.05500   		-0.00007        	-0.04645         	-0.00137         
0.06000   		-0.00006        	-0.04962         	-0.00162         
0.06500   		-0.00005        	-0.05224         	-0.00187         
0.07000   		-0.00007        	-0.05515         	-0.00214         
0.07500   		-0.00009        	-0.05912         	-0.00242         
0.08000   		-0.00011        	-0.06413         	-0.00273         
0.08500   		-0.00014        	-0.07030         	-0.00307         
0.09000   		-0.00017        	-0.07780         	-0.00344         
0.09500   		-0.00015        	-0.08566         	-0.00385         
0.10000   		-0.00014        	-0.09297         	-0.00429         
0.10500   		-0.00015        	-0.10018         	-0.00477         
0.11000   		-0.00013        	-0.10703         	-0.00529         
0.11500   		-0.00005        	-0.11153         	-0.00584         
0.12000   		0.00002         	-0.11234         	-0.00640         
0.12500   		0.00006         	-0.11041         	-0.00696         
0.13000   		0.00008         	-0.10706         	-0.00750         
0.13500   		0.00008         	-0.10321         	-0.00803         
0.14000   		0.00001         	-0.10113         	-0.00854         
0.14500   		-0.00009        	-0.10320         	-0.00905         
0.15000   		-0.00014        	-0.10896         	-0.00958         
0.15500   		-0.00012        	-0.11547         	-0.01014         
0.16000   		0.00001         	-0.11825         	-0.01073         
0.16500   		0.00022         	-0.11262         	-0.01131         
0.17000   		0.00038         	-0.09780         	-0.01184         
0.17500   		0.00038         	-0.07912         	-0.01228         
0.18000   		0.00026         	-0.06345         	-0.01263         
0.18500   		0.00015         	-0.05339         	-0.01292         
0.19000   		0.00008         	-0.04788         	-0.01317         
0.19500   		0.00002         	-0.04562         	-0.01341         
0.20000   		-0.00006        	-0.04675         	-0.01364         
0.20500   		-0.00014        	-0.05167         	-0.01388         
0.21000   		-0.00019        	-0.05972         	-0.01416         
0.21500   		-0.00027        	-0.07103         	-0.01448         
0.22000   		-0.00024        	-0.08347         	-0.01487         
0.22500   		0.00001         	-0.08906         	-0.01531         
0.23000   		0.00020         	-0.08395         	-0.01574         
0.23500   		0.00022         	-0.07358         	-0.01614         
0.24000   		0.00015         	-0.06455         	-0.01648         
0.24500   		0.00001         	-0.06076         	-0.01679         
0.25000   		-0.00006        	-0.06208         	-0.01710         
0.25500   		-0.00014        	-0.06697         	-0.01742         
0.26000   		-0.00035        	-0.07894         	-0.01778         
0.26500   		-0.00042        	-0.09781         	-0.01822         
0.27000   		-0.00015        	-0.11176         	-0.01875         
0.27500   		0.00017         	-0.11127         	-0.01931         
0.28000   		0.00037         	-0.09801         	-0.01984         
0.28500   		0.00053         	-0.07605         	-0.02028         
0.29000   		0.00064         	-0.04756         	-0.02059         
0.29500   		0.00073         	-0.01413         	-0.02075         
0.30000   		0.00078         	0.02280          	-0.02073         
0.30500   		0.00063         	0.05730          	-0.02052         
0.31000   		0.00045         	0.08368          	-0.02017         
0.31500   		0.00043         	0.10528          	-0.01969         
0.32000   		0.00043         	0.12634          	-0.01911         
0.32500   		0.00030         	0.14424          	-0.01844         
0.33000   		0.00015         	0.15524          	-0.01768         
0.33500   		0.00014         	0.16222          	-0.01689         
0.34000   		0.00032         	0.17335          	-0.01605         
0.34500   		0.00051         	0.19362          	-0.01514         
0.35000   		0.00045         	0.21728          	-0.01411         
0.35500   		0.00001         	0.22856          	-0.01299         
0.36000   		-0.00074        	0.21063          	-0.01188         
0.36500   		-0.00141        	0.15794          	-0.01094         
0.37000   		-0.00176        	0.08016          	-0.01034         
0.37500   		-0.00196        	-0.01108         	-0.01016         
0.38000   		-0.00192        	-0.10613         	-0.01045         
0.38500   		-0.00147        	-0.18916         	-0.01120         
0.39000   		-0.00087        	-0.24660         	-0.01230         
0.39500   		-0.00036        	-0.27686         	-0.01362         
0.40000   		-0.00001        	-0.28589         	-0.01504         
0.40500   		0.00014         	-0.28266         	-0.01646         
0.41000   		0.00001         	-0.27894         	-0.01786         
0.41500   		-0.00007        	-0.28040         	-0.01926         
0.42000   		0.00006         	-0.28066         	-0.02066         
0.42500   		0.00017         	-0.27485         	-0.02206         
0.43000   		0.00021         	-0.26538         	-0.02341         
0.43500   		0.00058         	-0.24601         	-0.02469         
0.44000   		0.00148         	-0.19553         	-0.02582         
0.44500   		0.00254         	-0.09686         	-0.02657         
0.45000   		0.00334         	0.04751          	-0.02671         
0.45500   		0.00346         	0.21428          	-0.02606         
0.46000   		0.00262         	0.36336          	-0.02459         
0.46500   		0.00154         	0.46546          	-0.02250         
0.47000   		0.00088         	0.52468          	-0.02001         
0.47500   		0.00036         	0.55502          	-0.01730         
0.48000   		-0.00049        	0.55192          	-0.01452         
0.48500   		-0.00165        	0.49953          	-0.01186         
0.49000   		-0.00259        	0.39560          	-0.00961         
0.49500   		-0.00294        	0.25994          	-0.00796         
0.50000   		-0.00267        	0.12241          	-0.00701         
0.50500   		-0.00219        	0.00340          	-0.00671         
0.51000   		-0.00201        	-0.09964         	-0.00695         
0.51500   		-0.00187        	-0.19491         	-0.00769         
0.52000   		-0.00195        	-0.28867         	-0.00890         
0.52500   		-0.00269        	-0.40261         	-0.01061         
0.53000   		-0.00334        	-0.55059         	-0.01298         
0.53500   		-0.00330        	-0.71337         	-0.01614         
0.54000   		-0.00266        	-0.85953         	-0.02009         
0.54500   		-0.00130        	-0.95681         	-0.02465         
0.55000   		0.00033         	-0.98062         	-0.02953         
0.55500   		0.00120         	-0.94313         	-0.03436         
0.56000   		0.00173         	-0.87139         	-0.03891         
0.56500   		0.00287         	-0.75863         	-0.04300         
0.57000   		0.00416         	-0.58615         	-0.04639         
0.57500   		0.00501         	-0.36118         	-0.04878         
0.58000   		0.00558         	-0.10158         	-0.04995         
0.58500   		0.00561         	0.17283          	-0.04977         
0.59000   		0.00458         	0.42285          	-0.04826         
0.59500   		0.00280         	0.60385          	-0.04566         
0.60000   		0.00058         	0.68682          	-0.04238         
0.60500   		-0.00155        	0.66305          	-0.03897         
0.61000   		-0.00265        	0.55988          	-0.03589         
0.61500   		-0.00269        	0.42883          	-0.03341         
0.62000   		-0.00257        	0.29971          	-0.03159         
0.62500   		-0.00310        	0.16057          	-0.03043         
0.63000   		-0.00448        	-0.02525         	-0.03007         
0.63500   		-0.00639        	-0.29187         	-0.03082         
0.64000   		-0.00735        	-0.62884         	-0.03310         
0.64500   		-0.00599        	-0.95605         	-0.03709         
0.65000   		-0.00361        	-1.19168         	-0.04251         
0.65500   		-0.00178        	-1.32393         	-0.04884         
0.66000   		-0.00071        	-1.38495         	-0.05563         
0.66500   		-0.00097        	-1.42617         	-0.06265         
0.67000   		-0.00231        	-1.50672         	-0.06996         
0.67500   		-0.00333        	-1.64520         	-0.07782         
0.68000   		-0.00290        	-1.79817         	-0.08643         
0.68500   		-0.00102        	-1.89449         	-0.09570         
0.69000   		0.00077         	-1.90069         	-0.10523         
0.69500   		0.00180         	-1.83771         	-0.11460         
0.70000   		0.00222         	-1.73917         	-0.12355         
0.70500   		0.00177         	-1.64126         	-0.13199         
0.71000   		0.00146         	-1.56204         	-0.13999         
0.71500   		0.00204         	-1.47622         	-0.14760         
0.72000   		0.00284         	-1.35661         	-0.15470         
0.72500   		0.00340         	-1.20372         	-0.16111         
0.73000   		0.00284         	-1.05084         	-0.16673         
0.73500   		0.00085         	-0.96032         	-0.17172         
0.74000   		-0.00077        	-0.95823         	-0.17648         
0.74500   		-0.00088        	-0.99872         	-0.18137         
0.75000   		-0.00012        	-1.02338         	-0.18645         
0.75500   		0.00091         	-1.00404         	-0.19153         
0.76000   		0.00202         	-0.93206         	-0.19640         
0.76500   		0.00265         	-0.81756         	-0.20078         
0.77000   		0.00205         	-0.70230         	-0.20457         
0.77500   		0.00046         	-0.64069         	-0.20790         
0.78000   		-0.00102        	-0.65436         	-0.21110         
0.78500   		-0.00171        	-0.72117         	-0.21453         
0.79000   		-0.00235        	-0.82067         	-0.21837         
0.79500   		-0.00333        	-0.95995         	-0.22280         
0.80000   		-0.00378        	-1.13437         	-0.22803         
0.80500   		-0.00426        	-1.33151         	-0.23418         
0.81000   		-0.00561        	-1.57343         	-0.24142         
0.81500   		-0.00623        	-1.86381         	-0.25000         
0.82000   		-0.00564        	-2.15511         	-0.26006         
0.82500   		-0.00506        	-2.41752         	-0.27150         
0.83000   		-0.00291        	-2.61294         	-0.28412         
0.83500   		0.00210         	-2.63294         	-0.29734         
0.84000   		0.00683         	-2.41388         	-0.31005         
0.84500   		0.00905         	-2.02428         	-0.32119         
0.85000   		0.00962         	-1.56642         	-0.33018         
0.85500   		0.00928         	-1.10303         	-0.33685         
0.86000   		0.00883         	-0.65887         	-0.34124         
0.86500   		0.00845         	-0.23495         	-0.34347         
0.87000   		0.00767         	0.16032          	-0.34364         
0.87500   		0.00664         	0.51128          	-0.34194         
0.88000   		0.00587         	0.81823          	-0.33860         
0.88500   		0.00624         	1.11528          	-0.33378         
0.89000   		0.00745         	1.45113          	-0.32738         
0.89500   		0.00748         	1.81744          	-0.31921         
0.90000   		0.00527         	2.13020          	-0.30930         
0.90500   		0.00241         	2.31860          	-0.29812         
0.91000   		0.00004         	2.37873          	-0.28633         
0.91500   		-0.00294        	2.30766          	-0.27455         
0.92000   		-0.00612        	2.08551          	-0.26350         
0.92500   		-0.00803        	1.73841          	-0.25390         
0.93000   		-0.00857        	1.33126          	-0.24622         
0.93500   		-0.00790        	0.92724          	-0.24059         
0.94000   		-0.00587        	0.58948          	-0.23684         
0.94500   		-0.00288        	0.37495          	-0.23449         
0.95000   		0.00028         	0.31112          	-0.23283         
0.95500   		0.00341         	0.40152          	-0.23112         
0.96000   		0.00618         	0.63657          	-0.22858         
0.96500   		0.00755         	0.97327          	-0.22458         
0.97000   		0.00686         	1.32683          	-0.21882         
0.97500   		0.00488         	1.61491          	-0.21142         
0.98000   		0.00287         	1.80504          	-0.20283         
0.98500   		0.00106         	1.90140          	-0.19353         
0.99000   		-0.00003        	1.92669          	-0.18394         
0.99500   		0.00045         	1.93702          	-0.17429         
1.00000   		0.00195         	1.99582          	-0.16449         
1.00500   		0.00388         	2.13869          	-0.15419         
1.01000   		0.00617         	2.38509          	-0.14293         
1.01500   		0.00844         	2.74329          	-0.13015         
1.02000   		0.01103         	3.22079          	-0.11529         
1.02500   		0.01346         	3.82145          	-0.09774         
1.03000   		0.01311         	4.47298          	-0.07699         
1.03500   		0.00922         	5.02050          	-0.05318         
1.04000   		0.00397         	5.34388          	-0.02716         
1.04500   		-0.00100        	5.41659          	-0.00016         
1.05000   		-0.00580        	5.24969          	0.02660          
1.05500   		-0.01180        	4.81787          	0.05189          
1.06000   		-0.01838        	4.07748          	0.07427          
1.06500   		-0.02316        	3.05863          	0.09221          
1.07000   		-0.02479        	1.88277          	0.10459          
1.07500   		-0.02233        	0.72724          	0.11107          
1.08000   		-0.01771        	-0.25468         	0.11215          
1.08500   		-0.01323        	-1.01340         	0.10889          
1.09000   		-0.00807        	-1.53570         	0.10241          
1.09500   		-0.00312        	-1.81010         	0.09395          
1.10000   		-0.00077        	-1.90553         	0.08461          
1.10500   		-0.00015        	-1.92818         	0.07501          
1.11000   		0.00011         	-1.92925         	0.06537          
1.11500   		-0.00017        	-1.93067         	0.05572          
1.12000   		-0.00087        	-1.95620         	0.04602          
1.12500   		-0.00251        	-2.03927         	0.03606          
1.13000   		-0.00425        	-2.20524         	0.02549          
1.13500   		-0.00411        	-2.41036         	0.01395          
1.14000   		-0.00250        	-2.57246         	0.00146          
1.14500   		0.00029         	-2.62659         	-0.01160         
1.15000   		0.00437         	-2.51224         	-0.02453         
1.15500   		0.00769         	-2.21656         	-0.03642         
1.16000   		0.00790         	-1.83430         	-0.04655         
1.16500   		0.00432         	-1.53449         	-0.05490         
1.17000   		-0.00147        	-1.46454         	-0.06228         
1.17500   		-0.00732        	-1.68019         	-0.07002         
1.18000   		-0.01211        	-2.15683         	-0.07952         
1.18500   		-0.01483        	-2.81770         	-0.09190         
1.19000   		-0.01541        	-3.55940         	-0.10783         
1.19500   		-0.01496        	-4.30425         	-0.12750         
1.20000   		-0.01325        	-4.99619         	-0.15078         
1.20500   		-0.00891        	-5.53967         	-0.17721         
1.21000   		-0.00369        	-5.84866         	-0.20579         
1.21500   		-0.00097        	-5.96306         	-0.23537         
1.22000   		-0.00023        	-5.99251         	-0.26528         
1.22500   		-0.00031        	-6.00556         	-0.29527         
1.23000   		-0.00160        	-6.05224         	-0.32539         
1.23500   		-0.00136        	-6.12468         	-0.35584         
1.24000   		0.00326         	-6.07794         	-0.38644         
1.24500   		0.00992         	-5.75472         	-0.41615         
1.25000   		0.01439         	-5.15854         	-0.44353         
1.25500   		0.01480         	-4.44264         	-0.46754         
1.26000   		0.01225         	-3.77929         	-0.48804         
1.26500   		0.00983         	-3.23780         	-0.50554         
1.27000   		0.00877         	-2.78164         	-0.52056         
1.27500   		0.00843         	-2.35971         	-0.53341         
1.28000   		0.00903         	-1.93155         	-0.54415         
1.28500   		0.00947         	-1.47797         	-0.55268         
1.29000   		0.00791         	-1.05179         	-0.55897         
1.29500   		0.00605         	-0.70939         	-0.56334         
1.30000   		0.00685         	-0.39297         	-0.56611         
1.30500   		0.00913         	-0.00114         	-0.56714         
1.31000   		0.01003         	0.46879          	-0.56599         
1.31500   		0.00956         	0.94925          	-0.56244         
1.32000   		0.00897         	1.40352          	-0.55654         
1.32500   		0.00781         	1.81489          	-0.54847         
1.33000   		0.00550         	2.14122          	-0.53854         
1.33500   		0.00321         	2.35491          	-0.52725         
1.34000   		0.00131         	2.46587          	-0.51516         
1.34500   		-0.00120        	2.46850          	-0.50277         
1.35000   		-0.00304        	2.36448          	-0.49065         
1.35500   		-0.00171        	2.24803          	-0.47915         
1.36000   		0.00193         	2.25345          	-0.46797         
1.36500   		0.00518         	2.42779          	-0.45633         
1.37000   		0.00660         	2.71656          	-0.44350         
1.37500   		0.00515         	3.00455          	-0.42917         
1.38000   		0.00132         	3.16318          	-0.41367         
1.38500   		-0.00204        	3.14546          	-0.39783         
1.39000   		-0.00331        	3.01413          	-0.38241         
1.39500   		-0.00221        	2.87877          	-0.36770         
1.40000   		0.00228         	2.88055          	-0.35339         
1.40500   		0.00935         	3.16592          	-0.33842         
1.41000   		0.01684         	3.80827          	-0.32113         
1.41500   		0.02325         	4.79129          	-0.29977         
1.42000   		0.02731         	6.03121          	-0.27279         
1.42500   		0.02829         	7.39494          	-0.23925         
1.43000   		0.02535         	8.71062          	-0.19892         
1.43500   		0.01850         	9.78618          	-0.15254         
1.44000   		0.00934         	10.46906         	-0.10172         
1.44500   		-0.00071        	10.68070         	-0.04864         
1.45000   		-0.01143        	10.38303         	0.00424          
1.45500   		-0.02077        	9.59342          	0.05437          
1.46000   		-0.02542        	8.46055          	0.09960          
1.46500   		-0.02552        	7.21114          	0.13878          
1.47000   		-0.02089        	6.07298          	0.17190          
1.47500   		-0.01082        	5.29541          	0.20012          
1.48000   		0.00001         	5.03019          	0.22571          
1.48500   		0.00738         	5.21124          	0.25116          
1.49000   		0.01143         	5.67254          	0.27829          
1.49500   		0.00994         	6.19672          	0.30799          
1.50000   		0.00195         	6.48841          	0.33987          
1.50500   		-0.00707        	6.36283          	0.37218          
1.51000   		-0.01548        	5.80974          	0.40278          
1.51500   		-0.02528        	4.81020          	0.42953          
1.52000   		-0.03407        	3.35474          	0.45013          
1.52500   		-0.03926        	1.55628          	0.46251          
1.53000   		-0.03958        	-0.37725         	0.46546          
1.53500   		-0.03313        	-2.16043         	0.45899          
1.54000   		-0.02061        	-3.47848         	0.44463          
1.54500   		-0.00591        	-4.12898         	0.42531          
1.55000   		0.00733         	-4.09425         	0.40449          
1.55500   		0.01740         	-3.48784         	0.38532          
1.56000   		0.02343         	-2.48642         	0.37027          
1.56500   		0.02371         	-1.33007         	0.36072          
1.57000   		0.01861         	-0.29216         	0.35677          
1.57500   		0.01343         	0.49361          	0.35738          
1.58000   		0.01064         	1.08396          	0.36138          
1.58500   		0.00869         	1.55787          	0.36802          
1.59000   		0.01012         	2.01904          	0.37694          
1.59500   		0.01608         	2.66148          	0.38852          
1.60000   		0.02207         	3.59697          	0.40404          
1.60500   		0.02457         	4.74077          	0.42483          
1.61000   		0.02352         	5.92023          	0.45151          
1.61500   		0.01904         	6.96405          	0.48381          
1.62000   		0.00940         	7.66149          	0.52057          
1.62500   		-0.00356        	7.80453          	0.55950          
1.63000   		-0.01287        	7.40153          	0.59770          
1.63500   		-0.01695        	6.67017          	0.63297          
1.64000   		-0.02001        	5.76361          	0.66411          
1.64500   		-0.02094        	4.75916          	0.69044          
1.65000   		-0.01670        	3.83591          	0.71184          
1.65500   		-0.00825        	3.22391          	0.72932          
1.66000   		0.00163         	3.06152          	0.74483          
1.66500   		0.00883         	3.31799          	0.76063          
1.67000   		0.01248         	3.84039          	0.77845          
1.67500   		0.01536         	4.52297          	0.79930          
1.68000   		0.01845         	5.35217          	0.82393          
1.68500   		0.02142         	6.33001          	0.85307          
1.69000   		0.02304         	7.42022          	0.88741          
1.69500   		0.02227         	8.53133          	0.92731          
1.70000   		0.02193         	9.61528          	0.97268          
1.70500   		0.02405         	10.74285         	1.02353          
1.71000   		0.02725         	12.00098         	1.08033          
1.71500   		0.03313         	13.48191         	1.14392          
1.72000   		0.04284         	15.34504         	1.21578          
1.72500   		0.05280         	17.69057         	1.29817          
1.73000   		0.05943         	20.44299         	1.39337          
1.73500   		0.06051         	23.38440         	1.50291          
1.74000   		0.05664         	26.25741         	1.62710          
1.74500   		0.05079         	28.89209         	1.76509          
1.75000   		0.04300         	31.19230         	1.91546          
1.75500   		0.03222         	33.03708         	2.07626          
1.76000   		0.02073         	34.33580         	2.24492          
1.76500   		0.01068         	35.10613         	2.41873          
1.77000   		0.00203         	35.41766         	2.59522          
1.77500   		-0.00490        	35.34727         	2.77227          
1.78000   		-0.00967        	34.98993         	2.94821          
1.78500   		-0.01319        	34.42913         	3.12183          
1.79000   		-0.01702        	33.68805         	3.29220          
1.79500   		-0.02118        	32.75117         	3.45839          
1.80000   		-0.02535        	31.60996         	3.61938          
1.80500   		-0.03017        	30.24812         	3.77412          
1.81000   		-0.03480        	28.65467         	3.92147          
1.81500   		-0.03805        	26.86812         	4.06034          
1.82000   		-0.03924        	24.97256         	4.18997          
1.82500   		-0.03849        	23.06625         	4.31005          
1.83000   		-0.03743        	21.20433         	4.42071          
1.83500   		-0.03644        	19.39262         	4.52218          
1.84000   		-0.03556        	17.62676         	4.61471          
1.84500   		-0.03562        	15.88106         	4.69848          
1.85000   		-0.03528        	14.14233         	4.77353          
1.85500   		-0.03311        	12.46510         	4.84001          
1.86000   		-0.02972        	10.92423         	4.89841          
1.86500   		-0.02766        	9.51710          	4.94947          
1.87000   		-0.02833        	8.14414          	4.99364          
1.87500   		-0.02898        	6.73873          	5.03086          
1.88000   		-0.02898        	5.31718          	5.06100          
1.88500   		-0.03186        	3.82491          	5.08391          
1.89000   		-0.03695        	2.13737          	5.09892          
1.89500   		-0.04156        	0.21209          	5.10489          
1.90000   		-0.04694        	-1.95826         	5.10063          
1.90500   		-0.05299        	-4.40896         	5.08484          
1.91000   		-0.05738        	-7.11572         	5.05612          
1.91500   		-0.06090        	-10.01668        	5.01336          
1.92000   		-0.06463        	-13.09539        	4.95565          
1.92500   		-0.06669        	-16.31598        	4.88217          
1.93000   		-0.06611        	-19.57281        	4.79243          
1.93500   		-0.06251        	-22.72716        	4.68661          
1.94000   		-0.05509        	-25.61135        	4.56561          
1.94500   		-0.04579        	-28.08540        	4.43118          
1.95000   		-0.03618        	-30.09562        	4.28553          
1.95500   		-0.02642        	-31.63078        	4.13102          
1.96000   		-0.01781        	-32.71536        	3.96998          
1.96500   		-0.01070        	-33.41455        	3.80451          
1.97000   		-0.00587        	-33.82100        	3.63632          
1.97500   		-0.00311        	-34.04116        	3.46661          
1.98000   		0.00028         	-34.11047        	3.29616          
1.98500   		0.00327         	-34.02337        	3.12576          
1.99000   		0.00331         	-33.86193        	2.95605          
1.99500   		0.00214         	-33.72820        	2.78710          
2.00000   		0.00147         	-33.63956        	2.61869          
2.00500   		0.00038         	-33.59417        	2.45063          
2.01000   		-0.00064        	-33.60056        	2.28266          
2.01500   		0.00141         	-33.58153        	2.11467          
2.02000   		0.00722         	-33.36964        	1.94717          
2.02500   		0.01260         	-32.88356        	1.78143          
2.03000   		0.01469         	-32.21448        	1.61864          
2.03500   		0.01571         	-31.46910        	1.45941          
2.04000   		0.01739         	-30.65738        	1.30406          
2.04500   		0.01899         	-29.76526        	1.15297          
2.05000   		0.02107         	-28.78295        	1.00656          
2.05500   		0.02409         	-27.67532        	0.86535          
2.06000   		0.02505         	-26.47008        	0.72997          
2.06500   		0.02309         	-25.28952        	0.60061          
2.07000   		0.02166         	-24.19210        	0.47693          
2.07500   		0.02170         	-23.12875        	0.35863          
2.08000   		0.02274         	-22.03888        	0.24569          
2.08500   		0.02518         	-20.86363        	0.13838          
2.09000   		0.02700         	-19.58397        	0.03723          
2.09500   		0.02604         	-18.28313        	-0.05742         
2.10000   		0.02320         	-17.07539        	-0.14576         
2.10500   		0.02073         	-15.99791        	-0.22839         
2.11000   		0.01970         	-15.00632        	-0.30588         
2.11500   		0.01903         	-14.05645        	-0.37853         
2.12000   		0.01742         	-13.16254        	-0.44654         
2.12500   		0.01376         	-12.39777        	-0.51037         
2.13000   		0.00852         	-11.85128        	-0.57088         
2.13500   		0.00512         	-11.51668        	-0.62923         
2.14000   		0.00623         	-11.23814        	-0.68614         
2.14500   		0.01091         	-10.81774        	-0.74138         
2.15000   		0.01699         	-10.13361        	-0.79388         
2.15500   		0.02216         	-9.17357         	-0.84225         
2.16000   		0.02404         	-8.04040         	-0.88533         
2.16500   		0.02264         	-6.89546         	-0.92264         
2.17000   		0.01961         	-5.85925         	-0.95446         
2.17500   		0.01647         	-4.97444         	-0.98148         
2.18000   		0.01383         	-4.23139         	-1.00444         
2.18500   		0.01119         	-3.61782         	-1.02401         
2.19000   		0.00909         	-3.12049         	-1.04082         
2.19500   		0.01008         	-2.65019         	-1.05526         
2.20000   		0.01499         	-2.03531         	-1.06708         
2.20500   		0.02079         	-1.15800         	-1.07518         
2.21000   		0.02584         	-0.01442         	-1.07821         
2.21500   		0.03129         	1.38678          	-1.07489         
2.22000   		0.03726         	3.06795          	-1.06388         
2.22500   		0.04054         	4.97599          	-1.04384         
2.23000   		0.03752         	6.89050          	-1.01411         
2.23500   		0.03047         	8.55813          	-0.97534         
2.24000   		0.02195         	9.84378          	-0.92916         
2.24500   		0.01261         	10.69139         	-0.87763         
2.25000   		0.00521         	11.12858         	-0.82293         
2.25500   		-0.00014        	11.25308         	-0.76687         
2.26000   		-0.00386        	11.15514         	-0.71077         
2.26500   		-0.00417        	10.95822         	-0.65548         
2.27000   		-0.00183        	10.81094         	-0.60111         
2.27500   		-0.00038        	10.75670         	-0.54722         
2.28000   		0.00047         	10.75884         	-0.49345         
2.28500   		0.00653         	10.93045         	-0.43935         
2.29000   		0.01645         	11.49393         	-0.38349         
2.29500   		0.01882         	12.35891         	-0.32391         
2.30000   		0.00488         	12.94028         	-0.26037         
2.30500   		-0.02056        	12.55575         	-0.19611         
2.31000   		-0.03508        	11.19125         	-0.13645         
2.31500   		-0.02781        	9.64904          	-0.08450         
2.32000   		-0.01777        	8.53134          	-0.03925         
2.32500   		-0.01847        	7.64258          	0.00120          
2.33000   		-0.02434        	6.59275          	0.03691          
2.33500   		-0.02995        	5.26149          	0.06666          
2.34000   		-0.03323        	3.71210          	0.08916          
2.34500   		-0.03303        	2.08706          	0.10365          
2.35000   		-0.02940        	0.55591          	0.11018          
2.35500   		-0.02293        	-0.72757         	0.10962          
2.36000   		-0.01330        	-1.61625         	0.10357          
2.36500   		-0.00146        	-1.97838         	0.09434          
2.37000   		0.00662         	-1.85193         	0.08460          
2.37500   		0.00836         	-1.48446         	0.07622          
2.38000   		0.00590         	-1.13452         	0.06972          
2.38500   		0.00229         	-0.93345         	0.06463          
2.39000   		0.00034         	-0.86887         	0.06016          
2.39500   		-0.00111        	-0.88773         	0.05580          
2.40000   		-0.00334        	-0.99695         	0.05113          
2.40500   		-0.00549        	-1.21363         	0.04565          
2.41000   		-0.00720        	-1.52484         	0.03884          
2.41500   		-0.00897        	-1.92142         	0.03026          
2.42000   		-0.01094        	-2.40984         	0.01947          
2.42500   		-0.01232        	-2.98031         	0.00602          
2.43000   		-0.01228        	-3.58347         	-0.01039         
2.43500   		-0.01133        	-4.16250         	-0.02977         
2.44000   		-0.01186        	-4.73125         	-0.05199         
2.44500   		-0.01566        	-5.40601         	-0.07726         
2.45000   		-0.01920        	-6.26080         	-0.10635         
2.45500   		-0.01917        	-7.20177         	-0.14001         
2.46000   		-0.01743        	-8.09927         	-0.17830         
2.46500   		-0.01371        	-8.86292         	-0.22078         
2.47000   		-0.00716        	-9.37485         	-0.26651         
2.47500   		-0.00186        	-9.59620         	-0.31404         
2.48000   		0.00002         	-9.64151         	-0.36218         
2.48500   		0.00139         	-9.60697         	-0.41033         
2.49000   		0.00433         	-9.46666         	-0.45807         
2.49500   		0.00863         	-9.14873         	-0.50470         
2.50000   		0.01276         	-8.62393         	-0.54921         
2.50500   		0.01523         	-7.93741         	-0.59067         
2.51000   		0.01701         	-7.14666         	-0.62841         
2.51500   		0.01896         	-6.26452         	-0.66198         
2.52000   		0.02087         	-5.28779         	-0.69090         
2.52500   		0.02451         	-4.17487         	-0.71463         
2.53000   		0.03021         	-2.83302         	-0.73227         
2.53500   		0.03503         	-1.23320         	-0.74253         
2.54000   		0.03682         	0.52897          	-0.74433         
2.54500   		0.03567         	2.30685          	-0.73722         
2.55000   		0.03354         	4.00407          	-0.72140         
2.55500   		0.03324         	5.64171          	-0.69727         
2.56000   		0.03645         	7.35077          	-0.66486         
2.56500   		0.04152         	9.26296          	-0.62343         
2.57000   		0.04337         	11.34496         	-0.57195         
2.57500   		0.03961         	13.38011         	-0.51006         
2.58000   		0.03402         	15.18592         	-0.43853         
2.58500   		0.02999         	16.75569         	-0.35859         
2.59000   		0.02660         	18.14350         	-0.27127         
2.59500   		0.02242         	19.34587         	-0.17747         
2.60000   		0.01732         	20.32070         	-0.07819         
2.60500   		0.01103         	21.01611         	0.02528          
2.61000   		0.00297         	21.35939         	0.13138          
2.61500   		-0.00566        	21.29322         	0.23819          
2.62000   		-0.01154        	20.87135         	0.34372          
2.62500   		-0.01488        	20.22343         	0.44652          
2.63000   		-0.01962        	19.37741         	0.54562          
2.63500   		-0.02510        	18.28070         	0.63988          
2.64000   		-0.02718        	16.99853         	0.72812          
2.64500   		-0.02419        	15.73882         	0.80990          
2.65000   		-0.01732        	14.72078         	0.88591          
2.65500   		-0.00898        	14.07553         	0.95773          
2.66000   		-0.00082        	13.83496         	1.02734          
2.66500   		0.00584         	13.95794         	1.09669          
2.67000   		0.01041         	14.35655         	1.16738          
2.67500   		0.01320         	14.93569         	1.24055          
2.68000   		0.01368         	15.59490         	1.31687          
2.68500   		0.01278         	16.24381         	1.39649          
2.69000   		0.01111         	16.82963         	1.47920          
2.69500   		0.00876         	17.31684         	1.56462          
2.70000   		0.00825         	17.73404         	1.65226          
2.70500   		0.00976         	18.17586         	1.74200          
2.71000   		0.01224         	18.71555         	1.83418          
2.71500   		0.01478         	19.37831         	1.92936          
